x,beta,a,theta,phi_final,r,c_base,c_fix_b,c_test,beta_f,rho,J,share8,share12,share16,bottleneck_tester
0.9741436179846883,0.9400828280461258,2.907869140805273,5.2153293022791205,5.112888713893366,5.801470236578634,1.5425027677712484,5.110354301607282,0.01415691291869662,0.9476606837170148,1.2034331707260535,0.11569237383620476,0.0,0.09522729217843907,0.9047727078215609,1.0
0.9665854581042538,0.9674508415336394,2.304953969556824,2.0667271164095897,6.668767065724493,6.834158920100334,1.1732646298402103,4.162791246191821,0.009643643437636977,0.9739393449023193,0.8702730105753093,0.2839384354947107,0.0,0.0,1.0,1.0
0.9701783030961425,0.9347823122447189,7.058565550918106,3.643621471024246,3.842305422716672,4.377710282175029,0.9280649233830023,6.070443863827793,0.011768214385755517,0.9497657814190709,1.0214260797324874,0.08360468846580327,0.1437047815861984,0.0,0.8562952184138016,1.0
0.9563071612210712,0.9440968251163526,2.3198872512649347,2.3956829420361916,6.878866451413003,4.917188177032578,1.57804529147388,4.769744608567433,0.01389533714513431,0.962737292401086,1.2990972787794266,0.11144592731837535,0.04929502916804286,0.0,0.9507049708319572,1.0
0.9749345950743379,0.9406178867241564,4.219519415893432,1.687436517916019,7.886308994361047,6.40059756452447,1.1333810762338625,3.102425685497809,0.013144476513270893,0.9244633180477203,0.8855834687557073,0.2255830330604564,0.0,0.36497606808681243,0.6350239319131876,1.0
0.9622278934024242,0.9394427563454645,0.4295230629398018,3.365952955183504,2.949926056537945,4.171472600009608,1.1190955144662162,3.835312631876264,0.007621687484565676,0.9551527302714098,0.8053454466264157,0.08935207874127184,0.21722985553859706,0.0,0.7827701444614029,1.0
0.9669717336935895,0.9372681588939382,4.591181797566401,3.9431624976510458,2.4398335695309954,3.4566898184189,1.197962942546573,5.793734553732502,0.012630361933204538,0.96160500717986,1.2208573213791696,0.0573904315325149,0.0,0.0945719005615836,0.9054280994384164,1.0
0.9683355642654227,0.9614602251058019,4.138484271169011,2.6484032349747997,2.108671571261575,5.107444202360873,1.1739663587364872,3.5941289199673365,0.008675889617681875,0.9397884954615148,0.8729430053060796,0.17016969837775645,0.0,0.749451303819465,0.250548696180535,1.0
0.9785914925141806,0.926142939990692,5.241855099513233,5.316599487857399,3.4621246617472883,5.195438611680258,0.97570118251215,2.231221203714819,0.009274883263712575,0.9679956550424175,0.8870976596929766,0.13851802349837206,0.2390455494089208,0.0,0.7609544505910792,1.0
0.9774142770400613,0.9141651777790574,3.9146090252531263,2.595528392263115,3.5998991894469494,7.303902029446407,1.5244581744040917,4.098866021017418,0.012500229051115905,0.972749219087695,0.8725796268612727,0.3151740800589959,0.0,0.34926757210732146,0.6507324278926786,1.0
